"date","county","county.1","date.1","alive.total","alive.suspect","alive.probable","dead.total","cum.total","cum.suspect","cum.probable","cum.confirm","cum.death","new.hcw.cases","new.hcw.deaths","cum.hcw.cases","cum.hcw.deaths","new.contacts","under.followup","seen.on.day","completed.21d.followup","lost.followup","alive.confirm","dead.suspect","dead.probable","dead.community","dead.patients"
2014-12-10,"Bong","Bong",2014-12-10,2,2,0,2,558,390,33,135,126,NA,NA,41,16,2,42,42,0,0,1,2,0,0,0
2014-12-10,"Gbarpolu","Gbarpolu",2014-12-10,0,0,0,0,39,26,3,10,10,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-10,"Grand Bassa","Grand Bassa",2014-12-10,0,0,0,0,165,46,70,49,71,NA,NA,8,4,0,42,42,0,0,1,0,0,0,1
2014-12-10,"Grand Cape Mount","Grand Cape Mount",2014-12-10,0,0,0,0,165,47,50,68,88,NA,NA,10,4,0,337,337,0,0,0,0,0,0,0
2014-12-10,"Grand Gedeh","Grand Gedeh",2014-12-10,0,0,0,0,10,8,0,2,5,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-10,"Grand Kru","Grand Kru",2014-12-10,0,0,0,0,36,14,18,4,27,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-10,"Lofa","Lofa",2014-12-10,0,0,0,0,645,171,148,326,384,NA,NA,22,16,0,0,0,0,0,0,0,0,0,0
2014-12-10,"Margibi","Margibi",2014-12-10,3,3,0,0,1256,409,464,383,558,NA,NA,71,38,0,962,955,0,7,0,0,0,0,0
2014-12-10,"Maryland","Maryland",2014-12-10,0,0,0,0,23,17,2,4,19,NA,NA,1,0,3,8,8,0,0,0,0,0,0,0
2014-12-10,"Montserrado","Montserrado",2014-12-10,8,5,3,6,4196,1726,794,1676,1747,NA,NA,179,83,251,3799,3768,133,0,10,6,0,0,3
2014-12-10,"National","National",2014-12-10,14,11,3,8,7812,3054,1806,2952,3298,NA,NA,366,177,260,5308,5270,174,7,15,8,0,0,4
2014-12-10,"Nimba","Nimba",2014-12-10,0,0,0,0,323,78,131,114,54,NA,NA,12,2,0,0,0,0,0,0,0,0,0,0
2014-12-10,"River Cess","River Cess",2014-12-10,1,1,0,0,41,9,12,20,26,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-10,"River Gee","River Gee",2014-12-10,0,0,0,0,19,7,4,8,8,NA,NA,3,0,0,0,0,0,0,0,0,0,0,0
2014-12-10,"Sinoe","Sinoe",2014-12-10,0,0,0,0,40,21,3,16,14,NA,NA,1,0,0,43,43,0,0,3,0,0,0,0
2014-12-11,"Bomi","Bomi",2014-12-11,0,0,0,0,296,85,74,137,161,NA,NA,18,14,0,75,75,0,0,0,0,0,0,0
2014-12-11,"Bong","Bong",2014-12-11,3,3,0,0,558,390,33,135,126,NA,NA,41,16,0,24,24,20,0,0,0,0,0,0
2014-12-11,"Gbarpolu","Gbarpolu",2014-12-11,0,0,0,0,39,26,3,10,10,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-11,"Grand Bassa","Grand Bassa",2014-12-11,4,1,3,0,165,46,70,49,71,NA,NA,8,4,16,57,34,2,23,0,0,0,0,0
2014-12-11,"Grand Cape Mount","Grand Cape Mount",2014-12-11,1,0,1,3,165,47,50,68,88,NA,NA,10,4,14,351,349,2,0,0,2,1,0,0
2014-12-11,"Grand Gedeh","Grand Gedeh",2014-12-11,0,0,0,0,10,8,0,2,5,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-11,"Grand Kru","Grand Kru",2014-12-11,0,0,0,0,36,14,18,4,27,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-11,"Lofa","Lofa",2014-12-11,0,0,0,0,645,171,148,326,384,NA,NA,22,16,0,0,0,0,0,0,0,0,0,0
2014-12-11,"Margibi","Margibi",2014-12-11,0,0,0,0,1256,409,464,383,558,NA,NA,71,38,0,962,949,0,0,0,0,0,0,0
2014-12-11,"Maryland","Maryland",2014-12-11,0,0,0,0,23,17,2,4,19,NA,NA,1,0,0,8,8,0,0,0,0,0,0,0
2014-12-11,"Montserrado","Montserrado",2014-12-11,5,4,1,4,4203,1732,795,1676,1751,NA,NA,179,83,38,3955,3914,158,0,4,4,0,0,3
2014-12-11,"National","National",2014-12-11,15,9,6,7,7819,3060,1807,2952,3302,NA,NA,366,177,88,5485,5406,225,23,4,6,1,0,3
2014-12-11,"Nimba","Nimba",2014-12-11,1,1,0,0,323,78,131,114,54,NA,NA,12,2,0,0,0,0,0,0,0,0,0,0
